,open,high,low,close,volume,value
2022-11-25 11:00:00,22660000.0,22664000.0,22602000.0,22627000.0,153.44802191,3471733577.47923
2022-11-25 12:00:00,22627000.0,22627000.0,22576000.0,22576000.0,141.62749436,3200390535.61398
2022-11-25 13:00:00,22576000.0,22578000.0,22370000.0,22396000.0,347.41810027,7810190402.48823
2022-11-25 14:00:00,22401000.0,22489000.0,22390000.0,22402000.0,160.05864101,3591757993.86568
2022-11-25 15:00:00,22406000.0,22550000.0,22399000.0,22550000.0,261.63473852,5882603383.30338
2022-11-25 16:00:00,22549000.0,22572000.0,22528000.0,22564000.0,134.6200332,3035278344.4813
2022-11-25 17:00:00,22564000.0,22584000.0,22500000.0,22548000.0,132.89817831,2994552839.24798
2022-11-25 18:00:00,22559000.0,22635000.0,22548000.0,22561000.0,192.55047215,4351383701.19156
2022-11-25 19:00:00,22561000.0,22635000.0,22554000.0,22572000.0,149.10964548,3368749397.03413
2022-11-25 20:00:00,22587000.0,22719000.0,22561000.0,22696000.0,241.12249505,5463343067.18699
2022-11-25 21:00:00,22696000.0,22788000.0,22674000.0,22700000.0,174.72902305,3971431831.76587
2022-11-25 22:00:00,22697000.0,22709000.0,22625000.0,22667000.0,110.18645698,2498065497.35101
2022-11-25 23:00:00,22667000.0,22741000.0,22623000.0,22732000.0,95.03657315,2154462812.52173
2022-11-26 00:00:00,22732000.0,22760000.0,22658000.0,22680000.0,92.74384672,2107504640.81882
2022-11-26 01:00:00,22687000.0,22707000.0,22623000.0,22644000.0,35.8030552,810961500.83692
2022-11-26 02:00:00,22651000.0,22698000.0,22624000.0,22677000.0,41.98724032,951439253.17612
2022-11-26 03:00:00,22679000.0,22699000.0,22637000.0,22637000.0,36.92652182,837278734.35023
2022-11-26 04:00:00,22654000.0,22698000.0,22635000.0,22664000.0,22.00449489,498793430.61527
2022-11-26 05:00:00,22664000.0,22759000.0,22658000.0,22703000.0,37.13508726,843312978.53367
2022-11-26 06:00:00,22703000.0,22712000.0,22665000.0,22678000.0,27.81800658,630897605.25846
2022-11-26 07:00:00,22677000.0,22686000.0,22650000.0,22675000.0,56.85336362,1288795454.76712
2022-11-26 08:00:00,22678000.0,22720000.0,22658000.0,22676000.0,76.14848311,1727456747.51353
2022-11-26 09:00:00,22677000.0,22777000.0,22658000.0,22749000.0,175.25468133,3982371819.85474
2022-11-26 10:00:00,22750000.0,22862000.0,22740000.0,22812000.0,189.40073088,4321202348.21024
2022-11-26 11:00:00,22812000.0,22856000.0,22784000.0,22799000.0,121.80687699,2780418049.99381
2022-11-26 12:00:00,22799000.0,22820000.0,22781000.0,22798000.0,72.48109779,1653208570.59766
2022-11-26 13:00:00,22781000.0,22819000.0,22752000.0,22816000.0,126.13939074,2873389625.28853
2022-11-26 14:00:00,22794000.0,22819000.0,22765000.0,22777000.0,107.18562645,2443193190.06088
2022-11-26 15:00:00,22776000.0,22790000.0,22703000.0,22713000.0,121.23018283,2757698787.45995
2022-11-26 16:00:00,22715000.0,22730000.0,22677000.0,22728000.0,80.77450648,1833759476.18317
2022-11-26 17:00:00,22728000.0,22740000.0,22700000.0,22725000.0,136.02231517,3089571485.7694
2022-11-26 18:00:00,22725000.0,22799000.0,22710000.0,22790000.0,83.44373564,1898661386.08052
2022-11-26 19:00:00,22785000.0,22812000.0,22760000.0,22765000.0,82.62916071,1882216444.1641
2022-11-26 20:00:00,22763000.0,22769000.0,22711000.0,22715000.0,90.50337786,2057510912.88754
2022-11-26 21:00:00,22715000.0,22766000.0,22712000.0,22713000.0,75.83925516,1723897566.64496
2022-11-26 22:00:00,22713000.0,22765000.0,22713000.0,22754000.0,45.75068308,1040547624.05843
2022-11-26 23:00:00,22757000.0,22822000.0,22716000.0,22733000.0,124.55659363,2835815930.5865
2022-11-27 00:00:00,22733000.0,22734000.0,22633000.0,22665000.0,158.2532005,3589756697.26944
2022-11-27 01:00:00,22665000.0,22695000.0,22656000.0,22656000.0,37.68573908,854261700.25925
2022-11-27 02:00:00,22656000.0,22698000.0,22640000.0,22667000.0,44.81128064,1015752136.36153
2022-11-27 03:00:00,22679000.0,22681000.0,22633000.0,22651000.0,21.57863831,488922296.70564
2022-11-27 04:00:00,22657000.0,22680000.0,22618000.0,22675000.0,40.19974361,910492571.12016
2022-11-27 05:00:00,22675000.0,22679000.0,22650000.0,22676000.0,17.00985147,385497565.37394
2022-11-27 06:00:00,22676000.0,22752000.0,22670000.0,22725000.0,32.21422494,732105276.39925
2022-11-27 07:00:00,22725000.0,22735000.0,22605000.0,22673000.0,82.38368638,1866594639.04942
2022-11-27 08:00:00,22673000.0,22692000.0,22632000.0,22660000.0,81.62122639,1849047497.22505
2022-11-27 09:00:00,22646000.0,22706000.0,22634000.0,22699000.0,113.93109117,2581750064.09156
2022-11-27 10:00:00,22699000.0,22729000.0,22677000.0,22697000.0,84.49656465,1918262505.03925
2022-11-27 11:00:00,22698000.0,22750000.0,22678000.0,22706000.0,63.65806585,1445925319.79563
